Date,MinTemp24H,Rain24H,MinTempPrevDay,RainPrevDay,Spray
01/01/2023,8.8,0.0,0.0,0.0,No
02/01/2023,8.6,0.0,8.8,0.0,No
03/01/2023,7.7,0.0,8.6,0.0,No
04/01/2023,7.6,0.6,7.7,0.0,No
05/01/2023,9.3,0.0,7.6,0.6,No
06/01/2023,9.2,0.0,9.3,0.0,No
07/01/2023,10.2,4.1,9.2,0.0,No
08/01/2023,9.8,0.0,10.2,4.1,No
09/01/2023,8.6,0.0,9.8,0.0,No
10/01/2023,7.6,0.0,8.6,0.0,No
11/01/2023,8.2,0.0,7.6,0.0,No
12/01/2023,7.7,0.0,8.2,0.0,No
13/01/2023,8.1,0.0,7.7,0.0,No
14/01/2023,8.9,0.1,8.1,0.0,No
15/01/2023,8.3,3.8,8.9,0.1,No
16/01/2023,9.5,0.0,8.3,3.8,No
17/01/2023,8.1,0.9,9.5,0.0,No
18/01/2023,9.4,0.0,8.1,0.9,No
19/01/2023,9.6,0.0,9.4,0.0,No
20/01/2023,9.3,0.0,9.6,0.0,No
21/01/2023,11.1,0.0,9.3,0.0,No
22/01/2023,11.2,0.0,11.1,0.0,No
23/01/2023,12.2,0.0,11.2,0.0,No
24/01/2023,10.6,0.0,12.2,0.0,No
25/01/2023,11.2,0.0,10.6,0.0,No
26/01/2023,8.4,0.0,11.2,0.0,No
27/01/2023,10.7,0.0,8.4,0.0,No
28/01/2023,14.9,0.0,10.7,0.0,No
29/01/2023,9.8,0.0,14.9,0.0,No
30/01/2023,9.4,0.0,9.8,0.0,No
31/01/2023,5.2,23.3,9.4,0.0,No
01/02/2023,4.9,63.0,5.2,23.3,No
02/02/2023,4.7,21.1,4.9,63.0,No
03/02/2023,6.6,4.9,4.7,21.1,No
04/02/2023,6.0,15.9,6.6,4.9,No
05/02/2023,7.1,6.6,6.0,15.9,No
06/02/2023,7.4,0.0,7.1,6.6,No
07/02/2023,3.2,60.0,7.4,0.0,No
08/02/2023,2.3,33.9,3.2,60.0,No
09/02/2023,3.1,2.4,2.3,33.9,No
10/02/2023,3.3,0.0,3.1,2.4,No
11/02/2023,3.5,0.0,3.3,0.0,No
12/02/2023,3.7,1.2,3.5,0.0,No
13/02/2023,5.2,0.0,3.7,1.2,No
14/02/2023,4.7,0.0,5.2,0.0,No
15/02/2023,5.6,0.0,4.7,0.0,No
16/02/2023,5.2,1.2,5.6,0.0,No
